comparison_id,openeval_result_id,peer_result_id,openeval_evaluation_type,peer_evaluation_type,openeval_result_type,peer_result_type,comparison_type,comparison,n_openeval,n_peer,n_itx,manuscript_id,version
CMP15,R8,R10,UNCERTAIN,UNCERTAIN,MAJOR,MAJOR,agree,Both address claim C95 about inverted-U model extension. OpenEval rates UNCERTAIN due to circular analysis and categorization assumptions; peer review rates UNCERTAIN due to incomplete support for underlying inverted-U relationship.,3.0,3.0,1,elife-91771,v1
CMP16,R10,,UNCERTAIN,,MINOR,,disjoint,"OpenEval evaluates theoretical interpretation claims C8, C84, C89 about representational sharpening mechanism as UNCERTAIN, noting inference from correlational data. No corresponding peer review evaluation found.",3.0,,0,elife-91771,v1
CMP17,R13,,SUPPORTED,,MINOR,,disjoint,"OpenEval evaluates background/context claims C1-C2, C12-C30 as SUPPORTED well-established knowledge from prior literature. No corresponding peer review evaluation found.",21.0,,0,elife-91771,v1
CMP18,R14,,SUPPORTED,,MINOR,,disjoint,OpenEval evaluates literature discussion claims C70-C79 as SUPPORTED with appropriate citations and scientific caution. No corresponding peer review evaluation found.,10.0,,0,elife-91771,v1
CMP19,R15,,SUPPORTED,,MINOR,,disjoint,"OpenEval evaluates theoretical context claims C80-C82, C85-C88, C96-C97 as SUPPORTED through appropriate citations. No corresponding peer review evaluation found.",9.0,,0,elife-91771,v1
CMP20,R16,,SUPPORTED,,MINOR,,disjoint,"OpenEval evaluates claims C33, C90-C92 about authors' prior work as SUPPORTED, providing context for current hypotheses. No corresponding peer review evaluation found.",4.0,,0,elife-91771,v1
CMP21,R17,,SUPPORTED,,MINOR,,disjoint,OpenEval evaluates meta-claim C98 about study significance as SUPPORTED based on successful replication and novel extensions. No corresponding peer review evaluation found.,1.0,,0,elife-91771,v1
CMP22,R18,,SUPPORTED,,MINOR,,disjoint,OpenEval evaluates methodological claims C99-C106 as SUPPORTED factual statements necessary for reproducibility. No corresponding peer review evaluation found.,8.0,,0,elife-91771,v1
CMP1,R18,R14,UNCERTAIN,UNCERTAIN,MINOR,MINOR,agree,"Both evaluate evolutionary speculation claims (C166-C184). OpenEval rates as UNCERTAIN, noting claims are 'explicitly speculative' and 'remain plausible interpretations requiring future empirical validation.' Peer review also rates UNCERTAIN, with Reviewer 2 finding speculations 'useful' but 'not convincing' initially, later noting they remain 'likely still to be controversial.' Both agree these are open questions rather than established conclusions.",18.0,18.0,18,elife-106356,v1
CMP2,R12,R5,UNCERTAIN,SUPPORTED,MAJOR,MAJOR,partial,"Both address right monocular test in Experiment 2 (C132-C137). OpenEval rates UNCERTAIN due to non-significant between-group comparison (BF=1.678) despite Li-chicks' within-group success, noting 'interpretation requires caution.' Peer review rates SUPPORTED, accepting this as part of overall behavioral evidence and hemispheric specialization framework. Peer reviewers do not explicitly discuss the statistical ambiguity that concerns OpenEval.",6.0,7.0,6,elife-106356,v1
CMP3,R5,R1,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Both evaluate core directional bias findings from Experiment 1 (C12, C99-C105, C140-C142). OpenEval rates SUPPORTED with strong statistical evidence (large effect sizes, BF=337.124 for Li-chicks' left bias). Peer review also rates SUPPORTED, with all reviewers affirming this as 'compelling' evidence and the 'core finding.' Complete agreement on this central result.",11.0,18.0,11,elife-106356,v1
CMP4,R11,R4,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Both address left monocular test failure in Experiment 2 (C127-C131). OpenEval rates SUPPORTED, noting statistical evidence shows no group differences and interpreting this as right hemisphere reliance on spatial information. Peer review also rates SUPPORTED, accepting this pattern as part of overall evidence without challenge. Both agree on the finding and its interpretation regarding right hemisphere limitations.",5.0,9.0,5,elife-106356,v1
CMP5,R10,R2,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Both evaluate disappearance of directional bias in Experiment 2 (C11, C121-C125, C147). OpenEval rates SUPPORTED based on statistical evidence showing no bias in either group when spatial cues unreliable. Peer review also rates SUPPORTED, with Reviewer 1 acknowledging bias appeared only 'when the distance between items gave a reliable spatial cue.' Both agree this contrast with Experiment 1 is central to the study's logic.",4.0,8.0,4,elife-106356,v1
CMP6,R2,R12,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,"Both address experimental methodology (C6-C9, C83-C95). OpenEval rates training/testing procedures as SUPPORTED, noting clear description and validation from previous studies. Peer review also rates SUPPORTED, with Reviewer 1 stating 'Behavioral evidence is strong enough' and Reviewer 2 praising 'Novel methodology.' Both accept the experimental design as sound.",9.0,18.0,9,elife-106356,v1
CMP7,R1,R11,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,"OpenEval R1 addresses experimental manipulation and sample (C6-C7, C80-C82). Peer R11 addresses light exposure manipulation (C59-C68, C81-C82). Both rate SUPPORTED. OpenEval notes manipulation is 'well-established in the literature.' Peer review confirms 'light-exposure induced lateralization' was 'critical for the successful analysis' and accepts it as valid. Both agree on the validity of the lateralization manipulation.",5.0,12.0,2,elife-106356,v1
CMP8,R6,R3,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Both address left monocular test in Experiment 1 (C106-C110). OpenEval rates SUPPORTED with very strong statistical evidence (BF=5598.452, d=2.088). Peer review also rates SUPPORTED as part of monocular findings that contribute to 'compelling' evidence. Both agree these results support the hemispheric contribution claims.",5.0,18.0,5,elife-106356,v1
CMP9,R7,R3,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,OpenEval R7 addresses right monocular test in Experiment 1 (C113-C116). Peer R3 includes these claims (C113-C116) along with other monocular findings. Both rate SUPPORTED. OpenEval cites strong statistical evidence (BF=6887.511). Peer review accepts monocular results as supporting hemispheric contributions. Both agree on the validity of these findings.,4.0,18.0,4,elife-106356,v1
CMP10,R16,R3,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,OpenEval R16 synthesizes light stimulation effects (C186-C191). Peer R3 includes some overlapping claims about monocular performance. Both rate SUPPORTED. OpenEval emphasizes Li-chicks' success in monocular conditions suggesting right hemisphere dominance. Peer review accepts light-exposure lateralization as important for the findings. Both agree on the role of lateralization.,6.0,18.0,5,elife-106356,v1
CMP11,R4,R1,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"OpenEval R4 addresses sagittal test findings (C10, C96-C98, C185). Peer R1 includes C10, C98 among broader core findings. Both rate SUPPORTED. OpenEval notes large effect size (d=0.904) and strong BF. Peer review accepts this as part of 'compelling' evidence for main conclusions. Both agree on the validity of these results.",5.0,18.0,2,elife-106356,v1
CMP12,R14,R1,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"OpenEval R14 synthesizes main conclusions (C13-C14, C111, C126, C142-C146). Peer R1 includes overlapping claims (C14, C142-C146) in core findings. Both rate SUPPORTED. OpenEval notes 'convergent evidence across multiple tests.' Peer review describes evidence as 'compelling' with all reviewers affirming core findings. Complete agreement on main conclusions.",9.0,18.0,6,elife-106356,v1
CMP13,R14,R6,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Both address main conclusions about lateralization and spatial-numerical associations (C13, C111, C126). OpenEval rates SUPPORTED based on convergent evidence. Peer R6 also rates SUPPORTED, with editor and reviewers affirming the study 'demonstrates how a left-right bias...depends on brain lateralization.' Both agree on the core theoretical conclusions.",9.0,14.0,3,elife-106356,v1
CMP14,R15,R6,UNCERTAIN,SUPPORTED,MAJOR,MAJOR,partial,"Both address hemispheric specialization claims (C161-C163). OpenEval rates UNCERTAIN, noting right hemisphere evidence is stronger while left hemisphere evidence relies on non-significant between-group comparison. Peer R6 rates SUPPORTED, accepting hemispheric specialization framework without noting statistical limitations. Peer reviewers are more accepting of the hemispheric specialization interpretation than OpenEval.",3.0,14.0,2,elife-106356,v1
CMP15,R17,R13,SUPPORTED,SUPPORTED,MAJOR,MINOR,agree,"Both evaluate theoretical model comparisons (C195-C196, C202-C205). OpenEval rates SUPPORTED, noting experimental design tested model predictions and findings support right-hemisphere dominance model. Peer R13 also rates SUPPORTED, accepting theoretical framework as appropriate contextualization. Both agree the theoretical synthesis is well-grounded in the data.",6.0,19.0,4,elife-106356,v1
CMP16,R8,R7,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"OpenEval R8 synthesizes Experiment 1 findings (C117-C118, C138-C139). Peer R7 addresses performance advantage of lateralized brains (includes C117-C118). Both rate SUPPORTED. OpenEval notes consistent pattern across tests. Peer review confirms authors 'are successful in revealing that the lateralized brain is advantageous.' Both agree on the synthesis of Experiment 1 results.",4.0,13.0,2,elife-106356,v1
CMP17,R9,R2,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"OpenEval R9 addresses sagittal test in Experiment 2 (C11, C119-C121). Peer R2 includes C11, C121 among claims about spatial cue dependence. Both rate SUPPORTED. OpenEval notes very small effect size and BF favoring null. Peer review accepts this as part of the contrast between experiments. Both agree on the finding of no group difference.",4.0,8.0,2,elife-106356,v1
CMP18,R13,R2,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"OpenEval R13 synthesizes Experiment 2 key findings (C147-C148, C163, C176). Peer R2 includes C147 among claims about spatial cue dependence. Both rate SUPPORTED. OpenEval emphasizes disappearance of effects when spatial information unreliable. Peer review accepts this contrast as central to study logic. Both agree on the interpretation of Experiment 2 results.",4.0,8.0,1,elife-106356,v1
CMP19,R3,R12,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,OpenEval R3 addresses experimental manipulation distinguishing the two experiments (C90-C95). Peer R12 includes these claims in overall methodology evaluation. Both rate SUPPORTED. OpenEval notes manipulation is 'clearly described and logically designed.' Peer review accepts methodology as sound. Both agree on the validity of the experimental design.,6.0,18.0,6,elife-106356,v1
CMP20,,R8,,UNCERTAIN,,MINOR,disjoint,"Peer R8 addresses framing around 'Mental Number Line' terminology and human numerical spatialization (C1-C4, C17-C24). Rated UNCERTAIN by peer reviewers, with Reviewer 2 extensively challenging the framing as 'highly contentious' and requesting terminology changes. No corresponding OpenEval result directly addresses these background/framing claims. Peer reviewers identified concerns about contextualization that OpenEval did not separately evaluate.",,10.0,0,elife-106356,v1
CMP21,,R9,,UNCERTAIN,,MINOR,disjoint,"Peer R9 addresses claims about innateness versus developmental plasticity (C3-C4, C25-C30). Rated UNCERTAIN by peer reviewers, with Reviewer 2 questioning whether findings demonstrate innateness given that experimental manipulation matters. No corresponding OpenEval result directly addresses these conceptual claims about innateness. Peer reviewers raised theoretical concerns about the innate/developmental distinction that OpenEval did not separately evaluate.",,8.0,0,elife-106356,v1
CMP22,,R10,,SUPPORTED,,MAJOR,disjoint,"Peer R10 addresses novelty claims about being first to test lateralization's role (C5, C41, C52-C54). Rated SUPPORTED by peer reviewers who acknowledge this as 'the first study' with 'Novel methodology.' No corresponding OpenEval result directly addresses these novelty/contribution claims. Peer reviewers explicitly evaluated the study's novel contribution, which OpenEval did not separately assess.",,5.0,0,elife-106356,v1
CMP1,R1,R1,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Perfect agreement on C34-C42. Both evaluations find the DLK knockout data well-supported, with peer reviewers explicitly noting 'DLK deletion had minimal effects' and 'sufficiently addressed all issues raised.' Both treat the lack of phenotype as a valid baseline finding.",9.0,9.0,9,elife-101173,v1
CMP2,R2,R2,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Perfect agreement on C48-C61. Both evaluations strongly support the region-specific vulnerability findings. Peer reviewers specifically highlighted this as a key contribution that 'will become the basis for future studies' on differential neuronal susceptibility, matching OpenEval's assessment of strong evidence with multiple complementary approaches.",14.0,14.0,14,elife-101173,v1
CMP3,R3,R3,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,"Perfect agreement on C62-C64. Both evaluations accept the glial response data as supported. Peer reviewers treated these as confirmatory markers of neurodegeneration without raising concerns, consistent with OpenEval's assessment that findings are consistent with expected glial responses.",3.0,3.0,3,elife-101173,v1
CMP4,R4,R4,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Strong agreement on C65-C69, C74-C75. Both evaluations praise the RiboTag-seq data as a major contribution. Peer reviewers called it 'a conceptual advance' in defining DLK-dependent translation changes, matching OpenEval's assessment of comprehensive data with appropriate statistical thresholds.",8.0,7.0,7,elife-101173,v1
CMP5,R5,R5,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Perfect agreement on C70-C86. Both evaluations accept the bioinformatic analyses as well-supported. Peer reviewers noted the study 'identified Jun and STMN4 as DLK-dependent genes,' treating the GO enrichment and pathway analyses as valid mechanistic insights, consistent with OpenEval's assessment.",14.0,14.0,14,elife-101173,v1
CMP6,R6,R6,UNCERTAIN,SUPPORTED,MAJOR,MAJOR,partial,"Divergent evaluations on C87-C97. OpenEval rates as UNCERTAIN due to potential confounding from neuronal death and acknowledges alternative interpretations. Peer reviewers rate as SUPPORTED, treating the spatial expression analyses as supporting evidence for differential CA1 vs CA3 susceptibility without expressing uncertainty about causality.",11.0,11.0,11,elife-101173,v1
CMP7,R7,R7,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Perfect agreement on C98-C113. Both evaluations find the c-Jun regulation data well-supported with multiple complementary approaches. Peer reviewers accepted these as valid mechanistic data linking DLK to downstream signaling, matching OpenEval's assessment of comprehensive evidence.",16.0,16.0,16,elife-101173,v1
CMP8,R8,R8,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Strong agreement on C115-C122 (overlapping claims). Both evaluations highlight STMN4 as a key mechanistic finding. Peer reviewers specifically noted 'identification of STMN4 as a downstream signal' as evidence of cell-type specificity, consistent with OpenEval's assessment of well-documented selectivity and DLK-dependent regulation.",9.0,8.0,8,elife-101173,v1
CMP9,R9,R9,SUPPORTED,SUPPORTED,MAJOR,MINOR,agree,"Agreement on C123-C127 with partial overlap. Both evaluations accept the microtubule alteration data as supported. Peer reviewers included additional claims (C188-C190) linking to STMN4 discussion, treating the findings as mechanistically coherent with DLK's cytoskeletal regulation role.",5.0,8.0,5,elife-101173,v1
CMP10,R10,R10,SUPPORTED,SUPPORTED,MAJOR,MINOR,agree,"Perfect agreement on C128-C138. Both evaluations find the synapse analysis data well-supported. Peer reviewers specifically praised the P10 data addition as 'an important advance,' consistent with OpenEval's assessment of rigorous quantification and clear temporal correlation.",11.0,11.0,11,elife-101173,v1
CMP11,R11,R11,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,"Perfect agreement on C139-C145. Both evaluations accept the DLK-STMN4 correlation data in cultured neurons as supported. Peer reviewers treated these as valid cellular-level validation of in vivo translatome data, matching OpenEval's assessment of strong correlation with adequate sample sizes.",6.0,6.0,6,elife-101173,v1
CMP12,R12,R12,SUPPORTED,SUPPORTED,MAJOR,MINOR,agree,"Strong agreement on C146-C153 with partial overlap. Both evaluations find the neurite formation data well-supported. Peer reviewers noted the study demonstrates 'morphological and synaptic abnormalities,' treating these as confirmatory evidence. OpenEval and peer review both included C154-C158 in related discussions.",8.0,13.0,8,elife-101173,v1
CMP13,R13,R12,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,"Agreement on C154-C158 with different grouping. OpenEval evaluated microtubule composition of aberrant neurites separately (R13), while peer reviewers grouped these with broader morphological findings (R12). Both find the data supported as characterizing DLK overexpression effects in culture.",5.0,13.0,5,elife-101173,v1
CMP14,R14,R13,SUPPORTED,SUPPORTED,MAJOR,MINOR,agree,"Perfect agreement on C159-C165. Both evaluations find the spine maturation data well-supported. Peer reviewers noted the study demonstrates 'DLK overexpression negatively impacts synapse number,' consistent with OpenEval's assessment of clear inverse correlation with statistical significance.",7.0,7.0,7,elife-101173,v1
CMP15,R18,R14,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,"Perfect agreement on C166-C170. Both evaluations accept the comparative discussion with disease models as supported. Peer reviewers noted the pattern 'will become the basis for future studies,' treating the comparisons as appropriately contextualizing findings within neurodegenerative mechanisms.",5.0,5.0,5,elife-101173,v1
CMP16,R19,R15,SUPPORTED,SUPPORTED,MINOR,MAJOR,agree,"Perfect agreement on C171-C179. Both evaluations strongly support the cell-type specificity findings. Peer reviewers explicitly affirmed the study 'identifies DLK-dependent signaling similar to but distinct from other cell types,' matching OpenEval's assessment of well-documented differences and reasonable speculation.",9.0,9.0,9,elife-101173,v1
CMP17,R20,R16,UNCERTAIN,SUPPORTED,MINOR,MINOR,partial,"Divergent evaluations on C180-C183. OpenEval rates as UNCERTAIN, noting C183 is speculative about regional differences without direct evidence for differential signal amplification. Peer reviewers rate as SUPPORTED, accepting the mechanistic speculation as appropriately framed interpretation without expressing uncertainty.",4.0,4.0,4,elife-101173,v1
CMP18,R21,R17,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,"Agreement on C184-C187, C192-C194 with partial overlap. Both evaluations accept the STMN4 discussion as supported. OpenEval included additional claims (C188-C191) about expression and regulation. Both note appropriate scientific caution in acknowledging STMN4 alone is unlikely to fully explain neuronal death.",11.0,7.0,7,elife-101173,v1
CMP19,R22,R18,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Perfect agreement on C195-C203. Both evaluations strongly affirm the conserved DLK synapse regulation findings as a major contribution. Peer reviewers stated the study 'provides confirmatory evidence through orthogonal methods' and 'will be important for scientists interested in synapse formation,' matching OpenEval's assessment of comprehensive synthesis.",9.0,9.0,9,elife-101173,v1
CMP20,R15,,SUPPORTED,,MINOR,,disjoint,"OpenEval evaluated background claims C1-C2, C10-C14 as SUPPORTED established knowledge. No corresponding peer review evaluation found, as peer reviewers typically do not explicitly evaluate introductory background material.",7.0,,0,elife-101173,v1
CMP21,R16,,SUPPORTED,,MINOR,,disjoint,"OpenEval evaluated literature review claims C15-C33 as SUPPORTED background. No corresponding peer review evaluation found, as peer reviewers typically do not explicitly evaluate comprehensive literature review sections.",19.0,,0,elife-101173,v1
CMP22,R17,,SUPPORTED,,MINOR,,disjoint,"OpenEval evaluated prior findings on DLK upregulation (C43-C47) as SUPPORTED background. No corresponding peer review evaluation found, as these are contextual claims from literature rather than novel findings requiring peer assessment.",5.0,,0,elife-101173,v1
CMP1,R3,R7,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,"Strong agreement on manipulation checks (C50-C53). Both confirm successful exercise intensity differentiation with large effect sizes in power output, heart rate, and RPE. OpenEval emphasizes statistical details (p < 2.2×10⁻¹⁶, large effect sizes), while peer reviewers describe this as 'systematic' validation of the experimental protocol.",5.0,4.0,4,elife-102392,v1
CMP2,R5,R1,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Strong agreement on null findings for exercise intensity effects (C3-C4, C6, C10, C67-C69). Both accept these as valid negative results rather than methodological failures. OpenEval provides detailed statistical evidence (β=1.19, p=0.44) and contextualizes with adequate power and successful manipulation checks. Peer reviewers treat this as 'solid evidence' that intensity does not impact hypoalgesia.",11.0,6.0,6,elife-102392,v1
CMP3,R2,R6,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,Strong agreement on pain induction validation (C45-C49). Both confirm successful experimental manipulation with significant BOLD activation in pain-processing regions. OpenEval emphasizes statistical significance (p < 2×10⁻¹⁶) and convergent behavioral-neural data. Peer reviewers describe this as corroborating prior literature and validating the experimental setup.,10.0,5.0,5,elife-102392,v1
CMP4,R1,R11,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,"Strong agreement on methodological rigor (C36-C41). Both support the experimental design including ethical approval, power analysis, preregistration, and double-blinding. OpenEval provides detailed justification (N=39 for f=0.3), while peer reviewers describe the approach as 'relatively sound' with 'effective pseudo-randomisation.'",14.0,6.0,6,elife-102392,v1
CMP5,R4,R3,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Strong agreement on sex-dependent opioid effects (C5, C55-C62, C91). Both confirm naloxone produced hyperalgesia in males across all intensities but had negligible effects at lower intensities in females. OpenEval provides statistical details (females: p=0.003; males: p=0.75) and notes mechanism requires further investigation. Peer reviewers credit the sex analysis as providing 'insight into...endogenous opioid modulation mechanism.'",18.0,7.0,7,elife-102392,v1
CMP6,R4,R4,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,Strong agreement on PAG activation findings (C63-C65). Both confirm increased PAG activation in naloxone vs. saline at higher thermal intensities. OpenEval reports statistical significance (pcorr-SVC=0.01) and links to behavioral findings. Peer reviewers describe the fMRI evidence as 'very convincing (and interesting)' and well-linked to endogenous pain modulation.,18.0,3.0,3,elife-102392,v1
CMP7,R6,R5,UNCERTAIN,UNCERTAIN,MAJOR,MAJOR,agree,"Agreement with caution on exploratory fitness findings (C7-C9, C11, C73-C75). Both acknowledge significant fitness effects with opioid involvement but emphasize exploratory nature requiring replication. OpenEval raises concerns about multiple comparisons and post-hoc hypothesis generation. Peer reviewers use conditional language ('may potentially,' 'should be explored further') indicating need for confirmation.",15.0,13.0,7,elife-102392,v1
CMP8,R7,R5,UNCERTAIN,UNCERTAIN,MAJOR,MAJOR,agree,Agreement with caution on exploratory three-way interaction (C76-C81). Both recognize complex sex×fitness×drug interactions but emphasize exploratory status. OpenEval highlights Type I error risk from multiple subgroup comparisons and modest sample sizes for stratified analyses. Peer reviewers state 'further confirmatory studies are required' to verify these findings.,13.0,13.0,6,elife-102392,v1
CMP9,R5,R14,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Strong agreement on null exercise×drug interaction (C70-C72). Both confirm that naloxone did not differentially affect pain responses between high and low intensity exercise. OpenEval contextualizes this within the broader null findings, while peer reviewers accept this as evidence that 'intensity of exercise does not seem to impact the hypoalgesic effect' even with opioid blockade.",11.0,3.0,3,elife-102392,v1
CMP10,R1,R12,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,Strong agreement on pharmacological protocol (C122-C124). Both support the double-blind crossover design and naloxone infusion protocol. OpenEval emphasizes this as part of rigorous methodology. Peer reviewers explicitly note that 'infusion of naloxone to maintain a stable concentration helps to ensure a consistent effect' and prevents time-course confounds.,14.0,3.0,3,elife-102392,v1
CMP11,R3,R8,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,Strong agreement on expectation control (C54). Both accept that expectation was ruled out as a confound. OpenEval notes this explicitly in manipulation check validation. Peer reviewers implicitly accept this through crediting 'rigorous set of statistical analysis to account for as many confounds as possible.',5.0,1.0,1,elife-102392,v1
CMP12,R4,R2,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Strong agreement on basic naloxone effects (C5, C55-C56). Both confirm naloxone blocked opioid receptors and resulted in higher pain ratings compared to saline. OpenEval provides detailed drug×intensity interaction (p=0.01), while peer reviewers state 'the expected effect of NALOXONE in this study seemed to occur' with receptor blockade producing higher pain ratings.",18.0,5.0,3,elife-102392,v1
CMP13,R1,R10,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,Strong agreement on sex and menstrual phase considerations (C43-C44). Both support the inclusion of sex analysis and menstrual phase distribution. OpenEval notes this as part of comprehensive design. Peer reviewers explicitly credit 'the authors on their analysis which explores the impact of sex and female participants' stage of menses.',14.0,2.0,2,elife-102392,v1
CMP14,R5,R9,SUPPORTED,SUPPORTED,MAJOR,MINOR,agree,Strong agreement on pressure pain decision (C42). Both accept the null finding for pressure pain and focus on heat pain without challenge. OpenEval notes this as additional evidence of null exercise effects. Peer reviewers implicitly accept this by focusing exclusively on heat pain results in their evaluations.,11.0,1.0,1,elife-102392,v1
CMP15,R4,R13,SUPPORTED,SUPPORTED,MAJOR,MINOR,agree,Strong agreement on trend-level thalamus finding (C66). Both accept this as supplementary evidence without challenge. OpenEval includes it as part of converging neural evidence for opioid effects. Peer reviewers accept it without comment as supporting the main PAG findings.,18.0,1.0,1,elife-102392,v1
