paper_id	claim_importance	evidence_strength
elife-102228	Important	Convincing
elife-102230	Important	Compelling
elife-102232	Important	Convincing
elife-102253	Valuable	Compelling
elife-102269	Useful	Solid
elife-102274	Fundamental	Compelling
Convincing
elife-102277	Important	Convincing
elife-102288	Important	Convincing
elife-102301	Important	Compelling
elife-102305	Important	Compelling
elife-102308	Important	Convincing
elife-102321	Important	Convincing
Incomplete
elife-102324	Valuable	Incomplete
elife-102335	Fundamental	Compelling
elife-102337	Useful	Convincing
elife-102346	Important	Solid
elife-102352	Valuable	Convincing
elife-102392	Valuable	Solid
elife-102409	Important	Convincing
elife-102422	Useful	Incomplete
elife-102424	Important	Convincing
elife-102433	Fundamental	Convincing
elife-102434	Fundamental	Exceptional
elife-102439	Valuable	Convincing
elife-102441	Valuable	Convincing
elife-102447	Important	Solid
elife-102449	Important	Solid
elife-102451	Important	Convincing
elife-102475	Valuable	Solid
elife-102515	Important	Compelling
elife-102529	Fundamental	Compelling
elife-102538	Fundamental	Compelling
elife-102542	Important	Solid
elife-102550	Valuable	Incomplete
elife-102573	Valuable	Convincing
elife-102592	Important	Convincing
elife-102618	Valuable	Convincing
elife-102622	Important	Convincing
elife-102637	NULL	Incomplete
elife-102643	Fundamental	Compelling
elife-102659	Important	Compelling
Convincing
elife-102663	Valuable	Solid
elife-102667	Important	Compelling
elife-102676	Valuable	Convincing
elife-102681	Important	Convincing
elife-102701	Valuable	Solid
elife-102702	Important	Compelling
elife-102743	Important	Convincing
elife-102756	Valuable	Solid
elife-102765	Important	Compelling
elife-102784	Important	Convincing
elife-102788	Important	Convincing
Solid
elife-102792	Valuable	Convincing
elife-102794	Important	Convincing
elife-102819	Fundamental	Compelling
elife-102823	Important	Compelling
elife-102840	Important	Compelling
elife-102852	Important	Compelling
elife-102857	Important	Compelling
elife-102858	Important	Convincing
elife-102906	Important	Compelling
elife-102911	Important	Solid
elife-102912	Important	Solid
elife-102915	Valuable	Solid
elife-102926	Important	Solid
elife-102930	Valuable	Solid
elife-102938	Important	Compelling
elife-102941	Valuable	Solid
elife-102977	Valuable	Solid
elife-102980	Important	Convincing
elife-102986	Important	Incomplete
elife-103047	Valuable	Solid
elife-103064	Valuable	Solid
elife-103068	Important	Compelling
elife-103069	Important	Convincing
elife-103073	Fundamental	Compelling
elife-103096	Important	Compelling
elife-103107	Valuable	Solid
elife-103109	Important	Compelling
elife-103137	Important	Convincing
elife-103159	Important	Compelling
elife-103191	Important	Convincing
elife-103205	Important	Convincing
elife-103220	Important	Convincing
elife-103235	Important	Solid
elife-103245	Important	Convincing
elife-103247	Valuable	Convincing
elife-103256	Fundamental	Compelling
elife-103259	Important	Convincing
elife-103260	Valuable	Convincing
elife-103321	Useful	Solid
elife-103328	Important	Compelling
elife-103331	Important	Compelling
Solid
elife-103340	Fundamental	Convincing
elife-103403	Important	Compelling
elife-103413	Valuable	Solid
elife-103417	Important	Convincing
elife-103425	Important	Compelling
elife-103481	Important	Solid
elife-103486	Important	Convincing
elife-103492	Important	Compelling
elife-103497	Valuable	Compelling
elife-103504	Important	Convincing
elife-103537	Important	Convincing
elife-103547	Important	Compelling
elife-103559	Valuable	Convincing
elife-103592	Important	Compelling
elife-103608	Important	Incomplete
elife-103615	Fundamental	Convincing
elife-103620	Fundamental	Compelling
elife-103628	Fundamental	Incomplete
elife-103636	Important	Convincing
elife-103648	Important	Compelling
elife-103660	Valuable	Incomplete
elife-103663	Important	Convincing
elife-103676	Fundamental	Convincing
elife-103697	Valuable	Solid
elife-103714	Valuable	Convincing
elife-103718	Important	Convincing
elife-103729	Important	Convincing
elife-103734	Important	Compelling
elife-103736	Important	Compelling
elife-103737	Valuable	Incomplete
elife-103738	Important	Compelling
elife-103748	Useful	Solid
elife-103757	Valuable	Compelling
elife-103771	Important	Incomplete
elife-103783	Important	Compelling
elife-103796	Valuable	Convincing
elife-103797	Valuable	Solid
elife-103828	Valuable	Solid
elife-103870	Important	Convincing
elife-103877	Important	Convincing
elife-103879	Important	Solid
elife-103888	Important	Compelling
elife-103904	Fundamental	Solid
elife-103923	Fundamental	Convincing
elife-103945	Important	Solid
elife-103953	Valuable	Compelling
elife-103959	Important	Convincing
elife-103970	Important	Compelling
elife-103971	Important	Solid
elife-103977	Important	Solid
elife-103996	Important	Convincing
elife-104008	Important	Convincing
elife-104011	Useful	Solid
elife-104028	Important	Convincing
Solid
elife-104041	Important	Compelling
elife-104043	Important	Convincing
elife-104045	Important	Convincing
elife-104048	Important	Convincing
elife-104057	Important	Convincing
elife-104064	Valuable	Convincing
elife-104068	Fundamental	Compelling
elife-104069	Important	Convincing
elife-104074	Important	Convincing
elife-104076	Valuable	Solid
elife-104082	Important	Compelling
elife-104101	Important	Solid
elife-104118	Important	Solid
elife-104121	Valuable	Solid
elife-104138	Valuable	Solid
elife-104139	Important	Compelling
elife-104164	Important	Compelling
elife-104181	Fundamental	Compelling
elife-104191	Valuable	Solid
elife-104199	Important	Convincing
elife-104212	Important	Solid
elife-104220	Important	Solid
elife-104222	Valuable	Convincing
elife-104233	Important	Convincing
elife-104237	Important	Convincing
elife-104238	Fundamental	Compelling
elife-104240	Useful	Convincing
elife-104255	Important	Compelling
elife-104268	Important	Solid
elife-104276	Important	Compelling
elife-104278	Fundamental	Compelling
elife-104280	Useful	Solid
elife-104295	Important	Convincing
elife-104302	Important	Compelling
elife-104355	Important	Convincing
elife-104367	Important	Compelling
elife-104423	Important	Solid
elife-104439	Fundamental	Convincing
elife-104441	Important	Compelling
elife-104443	Important	Compelling
elife-104456	Valuable	Solid
elife-104460	Important	Convincing
elife-104461	Important	Convincing
elife-104465	Important	Solid
elife-104469	Fundamental	Compelling
elife-104475	Important	Convincing
elife-104508	Fundamental	Compelling
elife-104514	Important	Compelling
elife-104530	Fundamental	Convincing
elife-104547	Important	Solid
elife-104549	Valuable	Solid
elife-104609	Fundamental	Compelling
elife-104718	Important	Convincing
elife-104720	Fundamental	Solid
elife-104723	Important	Convincing
elife-104725	Important	Compelling
elife-104762	Important	Solid
elife-104764	Fundamental	Compelling
elife-104772	Fundamental	Convincing
elife-104774	Valuable	Solid
elife-104779	Valuable	Solid
elife-104797	Valuable	Convincing
elife-104833	Important	Convincing
elife-104856	Important	Convincing
elife-104859	Valuable	Solid
elife-104894	Fundamental	Convincing
elife-104896	Important	Convincing
elife-104901	Valuable	Convincing
elife-104913	Valuable	Solid
elife-104914	Important	Convincing
elife-104934	Useful	Solid
elife-104956	Important	Compelling
elife-104963	Valuable	Compelling
elife-104972	Valuable	Convincing
elife-104979	Important	Convincing
elife-104996	Important	Convincing
elife-105005	Important	Solid
elife-105013	Important	Convincing
elife-105017	Valuable	Convincing
elife-105018	Fundamental	Compelling
elife-105039	Valuable	Convincing
elife-105059	Important	Convincing
elife-105062	Valuable	Convincing
elife-105065	Landmark	Compelling
elife-105087	Important	Convincing
elife-105094	Valuable	Convincing
elife-105111	Important	Compelling
elife-105112	Valuable	Convincing
elife-105132	Valuable	Solid
elife-105138	Important	Convincing
elife-105150	Valuable	Convincing
elife-105152	Valuable	Convincing
elife-105153	Useful	Solid
elife-105185	Important	Convincing
elife-105199	Important	Convincing
elife-105225	Fundamental	Compelling
elife-105236	Useful	Convincing
elife-105264	Important	Solid
elife-105265	Valuable	Incomplete
elife-105277	Valuable	Incomplete
elife-105291	Important	Convincing
elife-105309	Valuable	Convincing
elife-105311	Valuable	Compelling
elife-105317	Fundamental	Compelling
elife-105318	Important	Convincing
elife-105319	Valuable	Convincing
elife-105347	Valuable	Solid
elife-105396	Important	Convincing
elife-105411	Valuable	Solid
elife-105422	Useful	Solid
elife-105430	Important	Convincing
elife-105432	Fundamental	Compelling
elife-105446	Fundamental	Compelling
elife-105451	Important	Compelling
elife-105461	Important	Compelling
elife-105466	Important	Compelling
elife-105471	Important	Convincing
elife-105496	Important	Compelling
elife-105504	Useful	Incomplete
elife-105525	Fundamental	Solid
elife-105555	Important	Convincing
elife-105565	Valuable	Convincing
elife-105576	Valuable	Solid
elife-105585	Important	Convincing
elife-105593	Important	Compelling
elife-105613	Valuable	Convincing
elife-105649	Important	Solid
elife-105673	Fundamental	Compelling
elife-105696	Important	Compelling
elife-105703	Important	Convincing
elife-105714	Important	Compelling
elife-105734	Valuable	Solid
elife-105753	Valuable	Compelling
elife-105788	Valuable	Compelling
elife-105794	Important	Convincing
elife-105815	Fundamental	Exceptional
elife-105834	Important	Compelling
elife-105842	Important	Convincing
elife-105864	Valuable	Solid
elife-105867	Important	Convincing
elife-105887	Important	Compelling
elife-105892	Valuable	Convincing
elife-105895	Valuable	Solid
elife-105896	Important	Convincing
elife-105915	Important	Compelling
elife-105918	Important	Convincing
elife-105937	Valuable	Solid
elife-105955	Valuable	Convincing
elife-105977	Useful	Inadequate
elife-105978	Important	Convincing
elife-106042	Important	Compelling
elife-106044	Fundamental	Compelling
elife-106075	Important	Convincing
elife-106098	Valuable	Solid
elife-106122	Important	Compelling
elife-106136	Valuable	Convincing
elife-106140	Important	Solid
elife-106196	Valuable	Convincing
elife-106217	Fundamental	Compelling
elife-106228	Important	Compelling
elife-106239	Important	Compelling
elife-106249	Valuable	Convincing
elife-106252	Valuable	Convincing
elife-106256	Useful	Convincing
elife-106261	Important	Compelling
elife-106284	Fundamental	Compelling
elife-106288	Important	Compelling
elife-106303	Important	Convincing
elife-106305	Important	Solid
elife-106316	Valuable	Convincing
elife-106356	Fundamental	Compelling
elife-106362	Fundamental	Compelling
elife-106365	Useful	Solid
elife-106387	Important	Solid
elife-106389	Valuable	Convincing
elife-106403	Important	Convincing
elife-106450	Important	Compelling
elife-106469	Important	Solid
elife-106481	Important	Convincing
elife-106484	Fundamental	Compelling
elife-106508	Important	Compelling
elife-106509	Important	Compelling
elife-106513	Important	Convincing
elife-106525	Important	Compelling
elife-106537	Valuable	Convincing
elife-106557	Valuable	Solid
elife-106602	Important	Solid
elife-106611	Valuable	Convincing
elife-106614	Fundamental	Convincing
elife-106621	Fundamental	Compelling
elife-106628	Valuable	Convincing
elife-106655	Valuable	Solid
elife-106657	Fundamental	Compelling
Convincing
elife-106728	Valuable	Convincing
elife-106814	Fundamental	Compelling
elife-106823	Important	Convincing
elife-106844	Valuable	Solid
elife-106873	Useful	Compelling
Convincing
elife-106892	Valuable	Compelling
elife-106901	Important	Convincing
elife-106913	Valuable	Solid
Convincing
elife-106930	Important	Convincing
elife-106934	Important	Convincing
elife-107030	Important	Compelling
elife-107034	Valuable	Solid
elife-107043	Important	Convincing
elife-107067	Important	Compelling
elife-107069	Important	Convincing
elife-107093	Important	Convincing
elife-107114	Landmark	Compelling
elife-107121	Valuable	Solid
elife-107148	Fundamental	Convincing
elife-107157	Valuable	Compelling
elife-107298	Important	Compelling
elife-107352	Important	Incomplete
elife-107419	Valuable	Solid
elife-107451	Fundamental	Convincing
elife-107454	Valuable	Convincing
elife-107470	Important	Solid
elife-107494	Valuable	Convincing
elife-107524	Valuable	Compelling
elife-107534	Valuable	Convincing
elife-107566	Important	Convincing
elife-107598	Important	Compelling
elife-107742	Important	Convincing
elife-107938	Valuable	Solid
elife-108061	Fundamental	Compelling
elife-108292	Important	Convincing
elife-84141	Valuable	Convincing
elife-84338	Important	Convincing
elife-84355	Valuable	Convincing
elife-84364	Valuable	Convincing
elife-84385	Valuable	Solid
elife-84427	Valuable	Convincing
elife-84537	Important	Compelling
elife-84553	Important	Convincing
elife-84570	Valuable	Solid
elife-84604	Valuable	Solid
elife-84628	Important	Solid
elife-84630	Fundamental	Compelling
elife-84747	Valuable	Solid
elife-84792	Valuable	Compelling
elife-84831	Valuable	Solid
elife-84855	Important	Convincing
elife-84874	Important	Convincing
elife-84875	Important	Convincing
elife-84918	Valuable	Compelling
elife-84926	Valuable	Solid
elife-85069	Important	Convincing
elife-85111	Important	Convincing
elife-85380	Important	Solid
elife-85562	Useful	Compelling
elife-85596	Important	Solid
elife-85597	Valuable	Solid
elife-85646	Valuable	Convincing
elife-85654	Important	Convincing
elife-85760	Important	Convincing
elife-85786	Valuable	Compelling
elife-85795	Important	Convincing
elife-85875	Fundamental	Solid
elife-85921	Important	Convincing
elife-86016	Useful	Solid
elife-86100	Valuable	Convincing
elife-86169	Important	Solid
elife-86194	Important	Compelling
elife-86324	Valuable	Convincing
elife-86464	Valuable	Solid
elife-86507	Valuable	Solid
elife-86576	Fundamental	Compelling
elife-86577	Important	Convincing
elife-86591	Fundamental	Solid
elife-86617	Important	Convincing
elife-86628	Valuable	Solid
elife-86633	Valuable	Convincing
elife-86635	Valuable	Solid
elife-86636	Important	Compelling
elife-86638	Important	Compelling
elife-86655	Valuable	Solid
elife-86663	Important	Solid
elife-86669	Important	Convincing
elife-86670	Fundamental	Compelling
elife-86678	Important	Solid
elife-86687	Useful	Incomplete
elife-86689	Useful	Solid
elife-86695	Important	Solid
elife-86699	Valuable	Solid
elife-86700	Important	Convincing
Solid
elife-86721	Important	Solid
elife-86722	Important	Solid
elife-86725	Important	Convincing
elife-86727	Important	Solid
elife-86737	Valuable	Solid
elife-86740	Valuable	Compelling
elife-86749	Important	Exceptional
Solid
elife-86764	Important	Solid
elife-86776	Important	Compelling
elife-86784	Important	Compelling
elife-86797	Important	Solid
elife-86805	Important	Convincing
elife-86812	Valuable	Solid
elife-86823	Important	Convincing
elife-86824	Important	Convincing
elife-86827	Useful	Incomplete
elife-86833	Important	Compelling
elife-86837	Important	Convincing
elife-86843	Valuable	Compelling
elife-86845	Valuable	Solid
elife-86847	Valuable	Convincing
elife-86852	Important	Compelling
elife-86873	Important	Convincing
elife-86892	Valuable	Compelling
elife-86899	Important	Compelling
elife-86903	Important	Convincing
elife-86913	Important	Convincing
elife-86920	Useful	Incomplete
elife-86931	Valuable	Convincing
elife-86933	Important	Convincing
elife-86939	Fundamental	Convincing
elife-86940	Important	Compelling
elife-86943	Important	Convincing
elife-86944	Useful	Solid
elife-86961	Fundamental	Compelling
elife-86972	Valuable	Convincing
elife-86975	Important	Compelling
elife-86976	Important	Solid
elife-86978	Useful	Incomplete
elife-86988	Important	Solid
elife-86990	Important	Solid
elife-87008	Important	Convincing
elife-87016	Fundamental	Compelling
elife-87018	Important	Solid
elife-87022	Important	Solid
elife-87026	Important	Compelling
elife-87029	Important	Compelling
elife-87030	Valuable	Incomplete
elife-87037	Important	Compelling
elife-87038	Important	Convincing
elife-87039	Valuable	Convincing
elife-87048	Important	Solid
elife-87055	Valuable	Convincing
elife-87065	Useful	Solid
elife-87078	Valuable	Convincing
elife-87081	Useful	Convincing
elife-87083	Useful	Incomplete
elife-87092	Important	Compelling
elife-87094	Fundamental	Compelling
elife-87099	Valuable	Solid
elife-87115	Important	Solid
elife-87120	Important	Convincing
elife-87126	Valuable	Solid
elife-87133	Valuable	Solid
elife-87135	Valuable	Solid
elife-87146	Valuable	Convincing
elife-87147	Important	Solid
elife-87151	Important	Convincing
elife-87167	Important	Compelling
elife-87174	Important	Convincing
elife-87178	Important	Compelling
elife-87188	Fundamental	Convincing
elife-87192	Important	Convincing
elife-87193	Valuable	Convincing
elife-87196	Valuable	Solid
elife-87197	Valuable	Convincing
elife-87198	Important	Convincing
elife-87202	Important	Solid
elife-87238	Important	Solid
elife-87253	Important	Compelling
elife-87258	Valuable	Solid
elife-87271	Useful	Solid
elife-87281	Valuable	Solid
elife-87283	Valuable	Solid
elife-87288	Valuable	Convincing
elife-87292	Important	Compelling
Incomplete
elife-87297	Useful	Solid
elife-87301	Important	Solid
elife-87303	Valuable	Convincing
elife-87306	Important	Compelling
elife-87316	Important	Solid
elife-87317	Important	Convincing
elife-87318	Important	Convincing
elife-87330	Important	Convincing
elife-87335	Useful	Solid
elife-87340	Important	Compelling
elife-87346	Important	Solid
elife-87356	Valuable	Convincing
elife-87357	Important	Compelling
elife-87361	Valuable	Solid
elife-87369	Valuable	Solid
elife-87380	Important	Solid
elife-87386	Important	Solid
elife-87406	Valuable	Solid
elife-87414	Important	Convincing
elife-87419	Important	Solid
elife-87430	Important	Solid
elife-87431	Important	Convincing
elife-87434	Important	Compelling
elife-87442	Valuable	Convincing
elife-87445	Important	Convincing
elife-87450	Valuable	Convincing
elife-87455	Important	Solid
elife-87458	Important	Convincing
elife-87468	Important	Solid
elife-87496	Useful	Incomplete
Solid
elife-87501	Useful	Incomplete
elife-87510	Valuable	Solid
elife-87515	Important	Solid
elife-87517	Important	Incomplete
elife-87518	Important	Incomplete
elife-87521	Fundamental	Compelling
elife-87522	Valuable	Solid
elife-87523	Important	Convincing
elife-87527	Important	Convincing
elife-87529	Valuable	Solid
elife-87536	Fundamental	Compelling
elife-87555	Valuable	Solid
elife-87559	Important	Compelling
elife-87561	Useful	Incomplete
elife-87569	Fundamental	Compelling
elife-87572	Valuable	Solid
elife-87586	Valuable	Solid
elife-87592	Important	Convincing
elife-87602	Valuable	Solid
elife-87607	Valuable	Solid
elife-87611	Valuable	Compelling
elife-87616	Important	Solid
elife-87634	Important	Convincing
elife-87644	Valuable	Solid
elife-87651	Important	Compelling
elife-87668	Fundamental	Convincing
elife-87672	Important	Convincing
elife-87674	Important	Compelling
elife-87691	Valuable	Compelling
elife-87696	Important	Compelling
elife-87698	Important	Solid
elife-87714	Important	Compelling
elife-87719	Important	Convincing
elife-87720	Valuable	Compelling
elife-87722	Important	Convincing
elife-87726	Important	Solid
elife-87729	Valuable	Convincing
elife-87730	Valuable	Convincing
elife-87736	Important	Convincing
elife-87739	Valuable	Convincing
elife-87742	Important	Solid
elife-87746	Important	Compelling
elife-87747	Valuable	Convincing
elife-87749	Valuable	Solid
elife-87751	Important	Convincing
elife-87753	Important	Solid
elife-87754	Important	Convincing
elife-87756	Fundamental	Compelling
elife-87775	Fundamental	Compelling
elife-87780	Important	Solid
elife-87811	Fundamental	Compelling
elife-87820	Valuable	Convincing
elife-87833	Important	Compelling
elife-87860	Fundamental	Convincing
elife-87863	Fundamental	Compelling
elife-87866	Important	Convincing
elife-87868	Useful	Convincing
elife-87873	Useful	Solid
elife-87880	Valuable	Solid
elife-87881	Useful	Incomplete
elife-87884	Important	Convincing
elife-87894	Valuable	Solid
elife-87895	Important	Compelling
elife-87900	Important	Compelling
elife-87912	Valuable	Solid
elife-87922	Useful	Incomplete
elife-87928	Important	Convincing
elife-87930	Important	Compelling
elife-87935	Valuable	Convincing
elife-87949	Valuable	Solid
elife-87956	Fundamental	Compelling
elife-87958	Important	Convincing
elife-87962	Important	Solid
elife-87965	Important	Convincing
elife-87966	Fundamental	Compelling
elife-87969	Valuable	Solid
elife-87985	Fundamental	Convincing
elife-87989	Useful	Solid
elife-87993	Important	Solid
elife-88008	Important	Convincing
elife-88024	Valuable	Solid
elife-88049	Valuable	Convincing
elife-88051	Important	Convincing
elife-88053	Important	Convincing
elife-88054	Important	Compelling
elife-88058	Fundamental
Important	Convincing
elife-88064	Valuable	Convincing
elife-88082	Important	Compelling
elife-88084	Valuable	Solid
elife-88087	Valuable	Convincing
elife-88088	Important	Compelling
elife-88095	Important	Compelling
elife-88117	Useful	Solid
elife-88122	Important	Solid
elife-88124	Important	Convincing
elife-88135	Valuable	Solid
elife-88138	Valuable	Solid
elife-88143	Important	Convincing
elife-88144	Useful	Solid
elife-88149	Important	Convincing
elife-88172	Important	Convincing
elife-88173	Important	Convincing
elife-88174	Fundamental	Convincing
elife-88183	Valuable	Solid
elife-88186	Important	Convincing
elife-88189	Fundamental	Compelling
elife-88198	Important	Solid
elife-88205	Fundamental	Convincing
elife-88207	Important	Convincing
elife-88212	Valuable	Incomplete
elife-88221	Fundamental	Convincing
elife-88222	Important	Convincing
elife-88224	Important	Solid
elife-88225	Valuable	Convincing
elife-88229	Important	Convincing
elife-88236	Important	Convincing
elife-88247	Important	Solid
elife-88250	Fundamental	Convincing
elife-88251	Fundamental	Compelling
elife-88253	Important	Convincing
elife-88256	Important	Convincing
elife-88261	Important	Solid
elife-88266	Important	Compelling
elife-88268	Important	Solid
elife-88273	Valuable	Convincing
Solid
elife-88275	Useful	Incomplete
elife-88279	Valuable	Convincing
elife-88283	Valuable	Solid
elife-88287	Valuable	Convincing
elife-88289	Valuable	Convincing
