comparison_id,openeval_result_id,peer_result_id,openeval_evaluation_type,peer_evaluation_type,openeval_result_type,peer_result_type,comparison_type,comparison,n_openeval,n_peer,n_itx,manuscript_id,version,intersection_fraction,n_peer_int,n_openeval_int,agree_bar_cat
CMP11,R8,R4,Unsupported,Supported,MAJOR,MAJOR,Disagree,"Major disagreement on comparative efficacy claims (C35, C36). OpenEval rates as UNSUPPORTED, identifying methodologically flawed comparison between single-arm PERSIST and randomized ExteNET treatment arm without proper controls. Peer reviewers rated as SUPPORTED, accepting the comparative interpretation and novelty claim without challenging the comparison methodology.",3.0,5.0,2,elife-101724,v1,0.4,5,3,Disagree
CMP11,R15,R4,Unsupported,Supported,MAJOR,MAJOR,Disagree,"Major divergence on functional claims (C57). OpenEval rates this UNSUPPORTED, noting the assertion of 'modulating' integration efficiency lacks experimental evidence and requires functional assays. Peer reviewers accept this claim as part of compelling findings about regulatory mechanisms without requesting experimental validation. This is the most significant disagreement, with OpenEval requiring direct functional evidence while peer reviewers accept computational predictions and proximity data as sufficient.",1.0,4.0,1,elife-91985,v1,0.25,4,1,Disagree
CMP19,R20,R8,Supported,Unsupported,MINOR,MAJOR,Disagree,"Fundamental disagreement on background framework. OpenEval finds established background (C1-C4, C11, C14-C43) SUPPORTED by literature; peer reviewers explicitly reject framework (C2, C11, C13, C14) as UNSUPPORTED, stating it is 'outdated and has flaws.'",35.0,4.0,3,elife-93241,v1,0.08571428571428572,4,35,Disagree
CMP20,R21,R9,Supported,Unsupported,MINOR,MAJOR,Disagree,"Disagreement on mechanistic model. OpenEval finds established models (C144-C155) SUPPORTED as appropriate context; peer reviewers explicitly reject inverse dosage effect explanation (C31-C32) as UNSUPPORTED, stating 'this is a misunderstanding of the inverse effect.'",12.0,2.0,0,elife-93241,v1,0.0,2,12,Disagree
CMP21,R27,R10,Supported,Unsupported,MINOR,MINOR,Disagree,"Disagreement on exclusion of female animals (C120-C121). OpenEval finds methods justified by sex differences in disease progression. Peer reviewers explicitly critique this as a weakness, noting 'considerable known sex differences in Ca2+ handling' and stating 'it will be very important to determine effects in the female heart.'",6.0,2.0,2,elife-88638,v1,0.3333333333333333,2,6,Disagree
CMP3,R4,R4,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both address comparative analysis and quantitative measurements (C116-C129, C145). OpenEval finds the evolutionary trend SUPPORTED by measurements and gradual morphological changes. Peer review is UNSUPPORTED: anonymous reviewer criticizes that data are 'a mix and not comparable,' noting crucial distinction between secondary and tertiary layers is missing, and concludes patterns in Fig. 6 are 'misleading.'",17.0,15.0,14,elife-88855,v1,0.8235294117647058,15,17,Disagree
CMP4,R4,R3,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both address evolutionary patterns and continuous transformation (C7, C130). OpenEval finds SUPPORTED by gradual morphological changes across stratigraphic intervals. Peer review is UNSUPPORTED: anonymous reviewer states patterns are 'interesting but rather unconvincing' and 'misleading,' reflecting 'limited understanding of shell growths in linguliform brachiopods.'",17.0,7.0,2,elife-88855,v1,0.11764705882352941,7,17,Disagree
CMP7,R6,R3,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both address phylogenetic interpretations (C143, C154). OpenEval finds SUPPORTED with reasonable support from morphological continuity. Peer review is UNSUPPORTED: anonymous reviewer directly challenges evolutionary patterns as 'rather unconvincing' and 'misleading.'",13.0,7.0,2,elife-88855,v1,0.15384615384615385,7,13,Disagree
CMP9,R5,R3,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both address phylogenetic inferences and evolutionary interpretations (C134, C140-C141). OpenEval finds SUPPORTED though notes alternative scenarios not fully excluded. Peer review is UNSUPPORTED: anonymous reviewer finds evolutionary patterns 'rather unconvincing' and 'misleading.'",11.0,7.0,3,elife-88855,v1,0.2727272727272727,7,11,Disagree
CMP4,R4,R4,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate claims C50-C51 on JQ1 inhibitor experiments. OpenEval finds strong mechanistic evidence for SE-driven regulation. Peer reviewers explicitly reject this interpretation, stating JQ1 only proves BRD4 regulation and could indicate typical enhancer rather than super enhancer. Direct disagreement on interpretation of pharmacological data.",3.0,2.0,2,elife-96445,v1,0.6666666666666666,2,3,Disagree
CMP5,R5,R5,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate claims C53-C60 on ZFP36L1-PD-L1 regulatory relationship. OpenEval finds strong bidirectional evidence from multiple orthogonal methods. Peer reviewers provide detailed criticism: effects are marginal, context-dependent (requiring IFNγ), knockdown failures in some cell lines, and several cell lines express ZFP36L1 without PD-L1, suggesting ZFP36L1 is not a key PD-L1 stimulant. Major disagreement on effect size and biological significance.",8.0,8.0,8,elife-96445,v1,1.0,8,8,Disagree
CMP12,R12,R8,Supported,Unsupported,MAJOR,MAJOR,Disagree,"OpenEval R12 evaluates C99-C100 on clinical correlations in patient tissues. Peer R8 evaluates C99-C106 including in vivo tumor experiments. OpenEval acknowledges correlation cannot establish causality but finds clinical validation important. Peer reviewers question patient selection (why three patients shown), lack of subtype specification, and need for pathologist review, indicating inadequate presentation of clinical data.",2.0,8.0,2,elife-96445,v1,0.25,8,2,Disagree
CMP13,R13,R8,Supported,Unsupported,MAJOR,MAJOR,Disagree,"OpenEval R13 evaluates C101-C106 on in vivo experiments and therapeutic implications. Peer R8 evaluates C99-C106. OpenEval finds strong evidence for T-cell-dependent mechanisms but notes therapeutic claims are speculative. Peer reviewers provide strong criticism: no difference in tumor growth (Figure 6E), misleading IHC lacking quantification and pathologist review, need to validate regulatory axis in MFC cells used for experiments. Major disagreement on data quality and interpretation.",6.0,8.0,6,elife-96445,v1,0.75,8,6,Disagree
CMP14,R14,R9,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate summary conclusions C107, C111-C112 on the overall pathway and therapeutic implications. OpenEval finds mechanistic pathway well-established but therapeutic implications speculative. Peer reviewers conclude central claims are not supported due to marginal effects, lack of direct SE causality proof, incomplete data, and observation that ZFP36L1 is not a key PD-L1 stimulant compared to IFNγ. Editor notes this is one of many pathways and data are incomplete. Fundamental disagreement on whether totality of evidence supports conclusions.",6.0,3.0,3,elife-96445,v1,0.5,3,6,Disagree
CMP1,R12,R4,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Strong disagreement on T cell classification (C42-C44). OpenEval finds claims supported based on canonical markers and appropriate annotations. Peer reviewers identify multiple critical issues: all CD4+ T cells incorrectly classified as Tregs, missing T-helper cells, and cytotoxic T cells expressing exhaustion markers, indicating problematic cell type definitions.",3.0,3.0,3,elife-97335,v1,1.0,3,3,Disagree
CMP10,R8,R5,Unsupported,Supported,MAJOR,MAJOR,Disagree,"Disagreement on claim C5 regarding BMP, FGF, and WNT pathway differences. OpenEval rates this UNSUPPORTED, stating the finding is not substantiated in results/figures and appears to be an overclaim. Peer reviewers include C5 with other novel findings (C31-C38) and rate as SUPPORTED, though they focus more on novel receptors than specific pathway analysis.",1.0,9.0,1,elife-90325,v1,0.1111111111111111,9,1,Disagree
CMP12,R17,R12,Supported,Unsupported,MAJOR,MAJOR,Disagree,"High overlap (C96-C98) on MAD1 mutation disrupting spindle checkpoint. OpenEval finds SUPPORTED based on citations and molecular dynamics showing substantial binding affinity differences, but notes computational predictions need experimental validation. Peer reviewers rate UNSUPPORTED, explicitly stating simulation data alone cannot support conclusions and requesting biochemical binding assays; authors acknowledge experiments are 'in progress.'",3.0,4.0,3,elife-95453,v1,0.75,4,3,Disagree
CMP14,R19,R12,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Partial overlap (C20) - OpenEval R19 addresses overarching conclusion about MAD1 and TPRN as potential therapeutic targets. OpenEval finds SUPPORTED with appropriate 'potential' qualification. Peer R12 addresses MAD1 specifically (C96-C98, C20) and rates UNSUPPORTED due to lack of experimental validation for simulation-based claims.",1.0,4.0,1,elife-95453,v1,0.25,4,1,Disagree
CMP9,R9,R7,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate the overarching conclusions (C9, C136, C137). OpenEval finds the collective experimental evidence supports the proposed mechanism and rates SUPPORTED, noting appropriate use of 'may' for caution. Peer reviewers rate UNSUPPORTED, with the editor stating 'the evidence is incomplete, as much of it is correlative' and Reviewer 1 noting 'several mechanistic gaps' and that 'it cannot be ruled out that Engenol is uniquely mediating its effects through trpv1.'",3.0,3.0,3,elife-90724,v1,1.0,3,3,Disagree
CMP6,R5,R3,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both address metal-binding data (C63-C66). OpenEval finds MST assays provide quantitative binding constants with appropriate controls. Peer reviewers explicitly reject this as UNSUPPORTED, stating Cu(II) binding follows Irving-Williams series and is not physiologically relevant, noting true CsoR proteins respond to Cu(I) with affinities of 10^-18 M determined by competition assays.",4.0,6.0,4,elife-100914,v1,0.6666666666666666,6,4,Disagree
CMP7,R6,R4,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate DNA-binding and gene expression data (C10-C11, C67-C69, C72-C73). OpenEval acknowledges modest regulatory effects and appropriate discussion of limitations. Peer reviewers mark this UNSUPPORTED, stating protein concentrations exceed physiological ranges, wrong DNA target was used (should be PP_2970 not copA genes), and binding is likely non-specific.",7.0,13.0,7,elife-100914,v1,0.5384615384615384,13,7,Disagree
CMP10,R8,R3,Supported,Unsupported,MAJOR,MAJOR,Disagree,"OpenEval addresses C83 (CsoRC69A reduced copper binding) as part of mutation analysis. Peer reviewers' rejection of metal-binding data as UNSUPPORTED applies here, as they state Cu(II) binding measurements are not physiologically relevant for CsoR proteins.",4.0,6.0,1,elife-100914,v1,0.16666666666666666,6,4,Disagree
CMP15,R13,R3,Supported,Unsupported,MINOR,MAJOR,Disagree,"OpenEval evaluates EMSA with DTT and metal specificity (C74-C77) as SUPPORTED. Peer reviewers' UNSUPPORTED evaluation of metal-binding data applies here, as they reject Cu(II) measurements as physiologically irrelevant and state true CsoR proteins respond to Cu(I).",4.0,6.0,1,elife-100914,v1,0.16666666666666666,6,4,Disagree
CMP16,R13,R4,Supported,Unsupported,MINOR,MAJOR,Disagree,"OpenEval addresses EMSA metal specificity (C74, C76-C77). Peer reviewers' UNSUPPORTED evaluation of DNA-binding experiments applies, stating assays use non-physiological protein concentrations and wrong DNA targets, resulting in non-specific binding.",4.0,13.0,3,elife-100914,v1,0.23076923076923078,13,4,Disagree
CMP18,R14,R4,Supported,Unsupported,MINOR,MAJOR,Disagree,"OpenEval addresses gene expression data (C70) showing cheA deletion has no effect on copper-resistance genes. Peer reviewers incorporate this into their UNSUPPORTED evaluation of regulatory claims, noting lack of effect on copA gene expression is consistent with CueR (not CsoR) being the regulator.",2.0,13.0,1,elife-100914,v1,0.07692307692307693,13,2,Disagree
CMP19,R15,R4,Supported,Unsupported,MINOR,MAJOR,Disagree,"OpenEval evaluates broader metal-responsive regulatory functions (C71) as SUPPORTED but notes untested functional significance. Peer reviewers' UNSUPPORTED evaluation of DNA-binding and gene regulation applies here, given their concerns about non-specific binding and wrong regulatory targets.",1.0,13.0,1,elife-100914,v1,0.07692307692307693,13,1,Disagree
CMP21,R17,R8,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate the proposed regulatory model (C107-C110). OpenEval finds the model largely supported though some aspects are inferred. Peer reviewers explicitly state the data does NOT support the model (UNSUPPORTED), emphasizing PP_2969 is linked to Ni/Co (not Cu) resistance and results are inconsistent with published CsoR properties.",4.0,4.0,4,elife-100914,v1,1.0,4,4,Disagree
CMP9,R10,R5,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both address linking neural representation changes to behavioral learning (C26-C28, C30-C31). OpenEval finds SUPPORTED with strong correlations. Peer review rates UNSUPPORTED, identifying critical problems: correlation with cumulative rather than trial-by-trial gains, physical context confounds, and measures computed during practice not rest. Major disagreement.",3.0,5.0,3,elife-102475,v1,0.6,5,3,Disagree
CMP10,R11,R5,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both address within-subject analyses of contextualization-learning relationship (C30-C31). OpenEval finds SUPPORTED. Peer review rates UNSUPPORTED as part of broader critique (R5), questioning the appropriateness of the correlation measures and physical versus mental context confounds. Significant disagreement.",3.0,5.0,2,elife-102475,v1,0.4,5,3,Disagree
CMP14,R15,R11,Supported,Unsupported,MINOR,MAJOR,Disagree,"Both address alternative explanations for micro-offline gains (C40-C43, C44-C48). OpenEval finds SUPPORTED based on cited literature. Peer review rates UNSUPPORTED, with one reviewer directly challenging this, stating 'no compelling evidence that micro-offline gains reflect offline learning,' citing Das et al. (2024) showing these are 'transient performance benefits' that 'vanish within seconds.' Major disagreement.",4.0,9.0,4,elife-102475,v1,0.4444444444444444,9,4,Disagree
CMP15,R16,R11,Supported,Unsupported,MINOR,MAJOR,Disagree,"Both address neural replay evidence (C44-C48). OpenEval finds SUPPORTED based on cited studies showing progression from correlational to causal evidence. Peer review rates UNSUPPORTED as part of broader critique (R11), fundamentally challenging the micro-offline learning interpretation that underlies the replay hypothesis. Significant disagreement.",5.0,9.0,5,elife-102475,v1,0.5555555555555556,9,5,Disagree
CMP15,R17,R13,Supported,Unsupported,MINOR,MAJOR,Disagree,"Both address anatomical limitations (C107-C110, C128-C130). OpenEval rates SUPPORTED as 'thorough and honest assessment.' Peer reviewers rate UNSUPPORTED, identifying specific 'anatomical inaccuracies' including omission of MS projections to CA1 and CA3 feedback to MS. Disagreement: OpenEval accepts authors' acknowledgment while peer reviewers find the limitation inadequately addressed.",23.0,7.0,7,elife-87356,v1,0.30434782608695654,7,23,Disagree
CMP16,R17,R14,Supported,Unsupported,MINOR,MINOR,Disagree,"Both address lateral septum omission (C111-C112). OpenEval rates SUPPORTED as appropriately acknowledged limitation. Peer reviewers rate UNSUPPORTED, explicitly noting this as a significant gap given experimental evidence of lateral septum's importance in regulating hippocampal theta. Disagreement on adequacy of limitation acknowledgment.",23.0,2.0,2,elife-87356,v1,0.08695652173913043,2,23,Disagree
CMP17,R17,R15,Supported,Unsupported,MINOR,MAJOR,Disagree,"Both address cell type diversity limitations (C113-C116). OpenEval rates SUPPORTED as acknowledged limitation. Peer reviewers rate UNSUPPORTED, emphasizing this is 'particularly important' given that 'specific cell types, for example, OLM and VIP cells, are strongly implicated in TNGO.' Disagreement on severity of this limitation.",23.0,4.0,4,elife-87356,v1,0.17391304347826086,4,23,Disagree
CMP9,R11,R7,Unsupported,Supported,MAJOR,MAJOR,Disagree,"Major disagreement on diagnostic accuracy claims (C42, C88-C90). Peer reviewers strongly endorsed the 89% validation accuracy as 'compelling and comparable to other studies.' OpenEval rates discovery claims UNSUPPORTED, calling 100% discovery accuracy 'a major red flag suggesting overfitting' and noting lack of proper cross-validation, though acknowledges 89% validation is 'more realistic.'",4.0,7.0,4,elife-87369,v1,0.5714285714285714,7,4,Disagree
CMP3,R5,R3,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate the peptide-induced anergy model (claims C22-C26). OpenEval finds the data comprehensively support defective anergy development in Nrn1-/- cells. Peer reviewers find the claims unsupported, stating 'the authors assume that this immunization protocol induces anergic cells, but they provide no experimental evidence' and noting that lack of IL-2 could reflect fewer OVA-specific cells rather than anergic status.",6.0,5.0,5,elife-96812,v1,0.8333333333333334,5,6,Disagree
CMP6,R7,R6,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate claims C33-C38 about in vivo Treg suppression assays. OpenEval finds the data consistently support reduced Treg suppressive capacity across multiple readouts. Peer reviewers find the claims unsupported, raising critical concerns that low FOXP3+ percentages (5-15%) may reflect Tconv contamination, and that 'higher tumor rejection could be due to an overactivation of Nrn1-/- Tconvs (rather than a defect in Nrn1-/- Treg function).'",6.0,6.0,6,elife-96812,v1,1.0,6,6,Disagree
CMP10,R13,R2,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both address episodic memory interpretation (C101-C103, C165, C22, C96). OpenEval rates SUPPORTED, accepting the episodic memory framework with citations. Peer reviewers rate UNSUPPORTED, explicitly challenging the 'episodic' terminology and recommending its removal from the title, arguing the evidence doesn't support this interpretation.",6.0,6.0,3,elife-89601,v1,0.5,6,6,Disagree
CMP11,R13,R10,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both address arguments against simpler explanations (C106, C128). OpenEval rates SUPPORTED for the logical argument against priming. Peer reviewers rate UNSUPPORTED, explicitly stating this is 'an opinion, not a demonstration' and calling for control conditions to exclude perceptual association hypotheses.",6.0,2.0,1,elife-89601,v1,0.16666666666666666,2,6,Disagree
CMP14,R20,R2,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Minimal overlap (C165). OpenEval rates SUPPORTED for contextualization within unconscious memory literature, though notes theoretical implications are somewhat overstated. Peer reviewers fundamentally challenge the episodic memory framing, rating UNSUPPORTED.",6.0,6.0,1,elife-89601,v1,0.16666666666666666,6,6,Disagree
CMP5,R5,R2,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both address activity clustering claims (C31, C54-C56, C61-C63). OpenEval finds evidence SUPPORTED with statistically significant correlations across multiple mice. Peer reviewers rate this UNSUPPORTED, challenging that clustering is not visually evident, noting very low correlation coefficients, and raising fundamental concerns that the in vivo dynamic range exceeds the sensor's validated range, casting doubt on specific activity detection.",5.0,7.0,5,elife-96848,v1,0.7142857142857143,7,5,Disagree
CMP6,R6,R2,Supported,Unsupported,MAJOR,MAJOR,Disagree,"OpenEval R6 addresses spatial correlation analysis (C32, C62-C63) finding it SUPPORTED. This overlaps with peer R2's evaluation of clustering claims, where reviewers find the evidence UNSUPPORTED due to lack of visual clustering, low correlation values, and concerns about sensor dynamic range.",3.0,7.0,2,elife-96848,v1,0.2857142857142857,7,3,Disagree
CMP8,R4,R4,Supported,Unsupported,MINOR,MAJOR,Disagree,"Both address DAPT validation experiments (C47-C50). OpenEval finds this SUPPORTED despite acknowledging unexpected FRET direction, considering it appropriate validation with cautious interpretation. Peer reviewers rate this UNSUPPORTED, identifying it as a critical validation failure that undermines the entire approach, noting it contradicts in vitro data and lacks mechanistic explanation.",5.0,7.0,4,elife-96848,v1,0.5714285714285714,7,5,Disagree
CMP9,R10,R4,Supported,Unsupported,MINOR,MAJOR,Disagree,"OpenEval R10 addresses FRET principles and interpretation of unexpected DAPT effects (C51-C53), finding the reasoning SUPPORTED as well-reasoned speculation. Peer R4 addresses overlapping claims about DAPT response, finding it UNSUPPORTED and mechanistically unclear, particularly questioning how orientation could dominate over distance in FRET.",3.0,7.0,3,elife-96848,v1,0.42857142857142855,7,3,Disagree
CMP10,R7,R3,Supported,Unsupported,MAJOR,MAJOR,Disagree,"OpenEval R7 includes interpretation claims (C67-C68) about mechanisms, finding them SUPPORTED as reasonable speculation. Peer R3 addresses these claims in context of physiological relevance, rating UNSUPPORTED due to lack of validation, questioning relevance of cell body measurements versus synaptic activity, and requiring disease model experiments.",5.0,4.0,2,elife-96848,v1,0.4,4,5,Disagree
CMP11,R6,R3,Supported,Unsupported,MAJOR,MAJOR,Disagree,"OpenEval R6 includes spatial analysis claim C32. Peer R3 addresses C32 in context of broader physiological relevance concerns (C4, C32, C67-C68), rating UNSUPPORTED and questioning what cell body gamma-secretase activity means biologically.",3.0,4.0,1,elife-96848,v1,0.25,4,3,Disagree
CMP1,R7,R5,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both address the core conclusion about AOR being a sampling artifact (C42-C44). OpenEval finds this interpretation SUPPORTED by converging evidence from meta-analysis and phylogenetic results. Peer reviewers find it UNSUPPORTED, stating results are 'inadequate to overturn the repeatedly confirmed abundancy-occupancy relationship' due to 'multiple unresolved confounding factors.' This represents the most fundamental disagreement.",3.0,3.0,3,elife-95857,v1,1.0,3,3,Disagree
CMP9,R11,R2,Unsupported,Supported,MAJOR,MAJOR,Disagree,"Strong disagreement on claims C74-C78 regarding confirmation of HLA-II associations. OpenEval rates these claims as UNSUPPORTED, stating the authors overstate findings and that claiming to 'confirm' associations is not justified by a single suggestive signal. In contrast, peer reviewers rate this as SUPPORTED, with the editor explicitly stating the study 'confirms the association between HLA-II region and TB susceptibility' and calling it a 'valuable study.'",5.0,12.0,2,elife-99200,v1,0.16666666666666666,12,5,Disagree
CMP18,R2,R11,Supported,Unsupported,MAJOR,MAJOR,Disagree,"OpenEval R2 includes C65 (hypomorphic allele characterization) and finds it supported. Peer R11 specifically challenges the 'loss-of-function' nomenclature as misleading, noting the allele behaves differently when homozygous vs heterozygous over deficiency. This represents a disagreement on appropriate genetic terminology and interpretation.",17.0,1.0,1,elife-98584,v1,0.058823529411764705,1,17,Disagree
CMP10,R7,R6,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Strong disagreement on Notch signaling role (C13, C98-C101). OpenEval finds claims supported but notes lack of functional validation. Peer reviewer explicitly rejects the claim, stating it is 'not supported by actual evidence' and that CellPhoneDB inference and epigenome data are 'insufficient to justify this claim.'",5.0,5.0,5,elife-97958,v1,1.0,5,5,Disagree
CMP1,R8,R3,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate claims C32-C33 about residual sensitivity in highly confident non-noticers. OpenEval finds this SUPPORTED as strengthening the main finding, while peer reviewers find it UNSUPPORTED, arguing the result likely reflects measurement error from subjects who misunderstood confidence scales. This represents fundamental disagreement on data quality.",2.0,2.0,2,elife-100337,v1,1.0,2,2,Disagree
CMP2,R13,R6,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both address claims C8, C20, C62-C63 about theoretical implications challenging the orthodox view of IB. OpenEval finds these SUPPORTED (with caveats about interpretation), while peer reviewers find them UNSUPPORTED, characterizing the challenge as modest (~8% overestimate) rather than fundamental, and questioning whether above-chance performance proves conscious awareness versus subliminal processing.",4.0,5.0,4,elife-100337,v1,0.8,5,4,Disagree
CMP4,R3,R4,Supported,Unsupported,MINOR,MAJOR,Disagree,"Both address claims C4, C15-C17 about the theoretical motivation and critique of yes/no questions in prior IB research. OpenEval finds this SUPPORTED as well-grounded in psychophysics literature. Peer reviewers find it UNSUPPORTED, arguing the authors misrepresent the field by creating a straw-man, citing 18 studies (including some the authors cite) that use multiple questions rather than simple yes/no procedures.",7.0,7.0,4,elife-100337,v1,0.5714285714285714,7,7,Disagree
CMP5,R4,R4,Supported,Unsupported,MINOR,MAJOR,Disagree,"OpenEval R4 addresses claims C22, C46-C49 about methodological critiques of prior literature, finding them SUPPORTED. Peer R4 overlaps on C46-C48 but finds the characterization UNSUPPORTED, arguing it's a straw-man since most studies don't just use yes/no methods. This represents disagreement on how accurately the authors characterize existing literature.",5.0,7.0,3,elife-100337,v1,0.42857142857142855,7,5,Disagree
CMP7,R5,R5,Supported,Unsupported,MINOR,MINOR,Disagree,"OpenEval R5 includes claim C42 about adherence to canonical paradigms as SUPPORTED. Peer R5 addresses C42-C43 about lack of control conditions, finding this UNSUPPORTED with weak justification, arguing control trials are important for validating IB and ensuring stimuli detectability when attended. This represents disagreement on experimental design adequacy.",7.0,2.0,1,elife-100337,v1,0.14285714285714285,2,7,Disagree
CMP12,R12,R11,Unsupported,Supported,MINOR,MINOR,Disagree,"Both address sperm quality biomarker potential (C4, C130). OpenEval rates UNSUPPORTED, noting lack of validation with clinical outcomes or quality metrics. Peer reviewers implicitly SUPPORT the potential utility, noting work is 'of interest' and acknowledging speculative nature. Different standards for evaluating speculative claims.",2.0,3.0,2,elife-87115,v1,0.6666666666666666,3,2,Disagree
