openeval_result_id,peer_result_id,openeval_status,peer_status,agreement_status,comparison,n_openeval,n_peer,n_itx,manuscript_id,intersection_fraction,n_peer_int,n_openeval_int
R7,R4,Supported,Unsupported,Disagree,"Both address claims about conformational changes in AMTs (C55, C56, plus C52-C54 in OpenEval and C58 in peer review). OpenEval finds the fluorescence data and electrophysiology provide evidence for conformational rearrangements. Peer reviewers explicitly challenge this, arguing that 'some sort of change upon binding might lead to a change in protonation without much of a conformational change' and that the GFP change 'seems to be a protonation change and not necessarily a conformational change.'",5.0,3.0,2,elife-00800,0.4,3,5
R10,R5,Supported,Unsupported,Disagree,"Disagreement on K+ selectivity classification (C47-C49). OpenEval supports the permeability measurements and selectivity characterization. Peer reviewers challenge classifying GsuK as a K+ channel, noting that large inward currents would be carried by Na+ under the experimental conditions, making it 'a non-selective cation channel' rather than a K+ channel.",4.0,3.0,3,elife-00184,0.75,3,4
R8,R4,Supported,Unsupported,Disagree,"Disagreement on opening mechanism inferences (C70-C72, C95-C100 overlap with C6, C96-C98, C100). OpenEval supports structural differences and finds opening mechanism inference reasonable despite both structures being closed. Peer reviewers reject mechanistic interpretations as overreaching given only closed states are available.",9.0,9.0,4,elife-00184,0.4444444444444444,9,9
R12,R6,Supported,Unsupported,Disagree,"Minimal overlap on conserved binding sites (C90). OpenEval supports evolutionary conservation across channels. Peer R6 addresses broader BK comparison claims and rejects similarities in gating mechanisms, which contextually challenges the functional relevance of conserved sites.",3.0,7.0,1,elife-00184,0.14285714285714285,7,3
R10,R6,Supported,Unsupported,Disagree,"Both assess ChIP-bisulfite sequencing data for in vivo validation (C52-C58). OpenEval considers this gold-standard evidence with strong statistical support. Peer reviewers explicitly state the manuscript 'was not successful in convincing us of the physiological relevance' and request ChIP-qPCR data due to poor quality/presentation of ChIP-seq data, directly challenging these claims.",7.0,8.0,7,elife-00726,0.875,8,7
R2,R4,Supported,Unsupported,Disagree,"Strong disagreement on circuit model construction methodology (C64, C65, C66, C67, C68). OpenEval finds the virtual node insertion clearly justified and mathematically coherent, while peer reviewers challenge this choice as altering the network structure without clear justification.",9.0,5.0,5,elife-99904,0.5555555555555556,5,9
R3,R6,Supported,Unsupported,Disagree,"Disagreement on parameter choice (C78, C79). OpenEval finds the γ=5 parameter justified through preliminary analysis, while peer reviewers criticize this as part of broader concerns about arbitrary parameter selections lacking motivation.",8.0,2.0,2,elife-99904,0.25,2,8
R3,R6,Supported,Unsupported,Disagree,"Both address claim C64 regarding whether peak forces represent a lower boundary. OpenEval finds the calculation straightforward and the 'at least four motors' conclusion conservative and well-justified. Peer reviewers explicitly state this claim is 'not well supported by the data,' directly challenging the interpretation about motors not reaching maximum stall force.",6.0,1.0,1,elife-00744,0.16666666666666666,1,6
R1,R1,Supported,Unsupported,Disagree,"Strong disagreement on claims C8-C9 regarding mammalian dendritic MT polarity. OpenEval considers these 'well-established prior knowledge supported by extensive citations,' while peer reviewers explicitly corrected this claim, stating it is 'not correct' and citing multiple papers showing mixed polarity in proximal dendrites and plus-end-out in distal dendrites.",5.0,2.0,2,elife-00133,0.4,2,5
R12,R11,Supported,Unsupported,Disagree,"Disagreement on claim C60 regarding prior work on kinesin-2. OpenEval considers this claim (and others C10-C13, C58-C63) as 'accurately represent cited prior work,' while peer reviewers explicitly noted the omission of Mattie et al Curr Biol 2010 showing kinesin-2's role in minus-end-out MT orientation in flies, stating 'The authors should cite this paper and discuss the relevance.'",10.0,1.0,1,elife-00133,0.1,1,10
R7,R4,Supported,Unsupported,Disagree,"Disagreement on dexamethasone findings (C67-C70). OpenEval accepts the qRT-PCR data showing selective Lethe induction by dexamethasone. However, peer reviewers explicitly rejected claim C10 that Lethe is 'unique' in being induced by both inflammatory and anti-inflammatory therapeutics, calling it an 'over-interpretation.'",4.0,3.0,2,elife-00762,0.5,3,4
R4,R4,Supported,Unsupported,Disagree,"Both address clustering-docking correlation (C42, C43). OpenEval finds the mechanistic explanation convincing and supported by lack of fusion effects. Peer reviewers note the data 'actually show a reduction of docking between v-vesicles and t-vesicles,' viewing this as problematic for the proposed model rather than supporting it.",3.0,6.0,2,elife-00592,0.3333333333333333,6,3
R16,R8,Supported,Unsupported,Disagree,"Both address data limitations and practical applicability (C54-C55, C99, C56, C97-C98). OpenEval views transparent acknowledgment of limitations as appropriate and finds cost-effectiveness argument reasonable. Peer reviewer directly challenges this, stating organ-specific BA results 'may not be credible' and that cost-effectiveness is insufficient to overcome validity concerns.",4.0,6.0,3,elife-99924,0.5,6,4
R17,R8,Supported,Unsupported,Disagree,"Both evaluate practical applicability claims (C56, C97-C98). OpenEval finds the inference about routine clinical biomarkers being more accessible reasonable. Peer reviewer rejects the cost-effectiveness framing, recommending that 'shortcomings and the applicability of the results should be discussed' more thoroughly.",3.0,6.0,3,elife-99924,0.5,6,3
R17,R7,Supported,Unsupported,Disagree,Strong disagreement on membrane anchoring requirement for maturation (C115-C118). OpenEval finds the phenotypic comparison supports the model. Peer reviewers explicitly state this conclusion 'seems to be a misinterpretation' because many maturation events are 'apparently normal' in ECD/ECD mice.,5.0,5.0,4,elife-00220,0.8,5,5
R10,R7,Supported,Unsupported,Disagree,Minimal overlap on maturation claims (C58). OpenEval includes this in broader support for the membrane anchoring model. Peer reviewers explicitly reject the maturation interpretation.,13.0,5.0,1,elife-00220,0.07692307692307693,5,13
R8,R5,Supported,Unsupported,Disagree,"Both address electrostatic treatment and Debye-Huckel approximation (C55, C57). OpenEval finds methods clearly described with appropriate detail. Peer reviewers directly challenge this, expressing 'serious concerns' about whether there is enough free space inside densely packed capsids for implicit solvent to account for the same Debye-Huckel treatment as in bulk solution. They note favorable self-energy is 'probably much reduced' inside packed capsids. Strong disagreement on validity of electrostatic model.",14.0,2.0,2,elife-00632,0.14285714285714285,2,14
R7,R4,Supported,Unsupported,Disagree,"Both address recombination normality claim (C37). OpenEval finds support from recombination assays with appropriate quantification. Peer reviewers directly contradict this, stating 'FigureS1E shows that recombination is not normal in GAL-CLB3 cells' with earlier crossover formation and lower levels. They identify 'a contradiction that needs to be addressed.' Clear disagreement on whether recombination is normal.",4.0,1.0,1,elife-00117,0.25,1,4
R17,R10,Supported,Unsupported,Disagree,"Both address evolutionary conservation and prior work in other organisms (C81-C85, with OpenEval also including C79-C80, C87). OpenEval finds appropriate citation support for conservation claims. Peer reviewers explicitly criticize handling of prior work, particularly Asakawa et al., stating novelty claims are 'unwarranted and need rewriting' and that prior S. pombe work 'demonstrated meiosis-specific disassembly' and its requirement. Strong disagreement on novelty claims and presentation of prior literature.",8.0,5.0,5,elife-00117,0.625,5,8
R6,R5,Supported,Unsupported,Disagree,"Both address the differential sensitivity model and synapse specificity interpretation (C18, C73). OpenEval supports this model based on temperature-shift data. Peer reviewers explicitly reject the synapse specificity interpretation, stating 'the data do not address a ""synaptic function"" of Notch' and that 'the concept of synapse specificity...is an interpretation that is not directly addressed by the data.'",3.0,4.0,1,elife-00378,0.25,4,3
R1,R5,Supported,Unsupported,Disagree,"Overlapping claims about synapse specificity interpretation (C5, C50, C73). OpenEval supports the pathway's role in synapse specificity based on converging evidence. Peer reviewers explicitly reject this interpretation, emphasizing that the data document muscle differentiation rather than synapse specificity and requesting substantial revision of this framing.",20.0,4.0,3,elife-00378,0.15,4,20
R9,R6,Supported,Unsupported,Disagree,"Both evaluate claims about spatial hierarchy and anterior segment control (C36-C38). OpenEval finds the quantitative analysis of segment-specific quiescence sufficient to support the gradient and interpretive conclusions. Peer reviewers directly challenge this, stating that 'hierarchy' implies control that cannot be concluded from mere observation of differential activity, calling the reasoning assumption-based rather than data-driven.",3.0,3.0,3,elife-00782,1.0,3,3
R8,R6,Supported,Unsupported,Disagree,"Both evaluate claims C49-C51 about the experimental design with free myofilaments. OpenEval finds this design successfully demonstrates that rigid attachment is unnecessary. Peer reviewers directly challenge this choice, arguing that myosin should be tethered independently to better reflect cellular conditions and invoke tension.",5.0,4.0,3,elife-00116,0.6,4,5
R7,R3,Supported,Unsupported,Disagree,"Both evaluate simulation results and ATP-dependent behavior (C37-C40, C74-C76). OpenEval finds simulations internally consistent with literature parameters and experimental observations. Peer reviewers strongly criticize the use of near-rigor ATP conditions (~3 µM vs. physiological mM levels), calling them 'not very physiological.'",7.0,16.0,7,elife-00116,0.4375,16,7
R9,R3,Supported,Unsupported,Disagree,"Both evaluate ATP-dependent processivity claims (C58-C63). OpenEval finds strong support from systematic tracking experiments with clear quantitative differences. Peer reviewers' criticism of near-rigor ATP conditions (R3) undermines these findings, as the experimental conditions are deemed non-physiological.",6.0,16.0,6,elife-00116,0.375,16,6
R2,R3,Supported,Unsupported,Disagree,"Both evaluate ATP-dependent pattern formation (C9-C11). OpenEval finds adequate documentation with good sample size and concentration-dependent effects. Peer reviewers criticize the low ATP concentrations used, noting the Km for myosin-II is in tens of µM, making the ~3 µM ATP conditions problematic.",3.0,16.0,2,elife-00116,0.125,16,3
R13,R3,Supported,Unsupported,Disagree,"Both evaluate ATP-dependent mechanism claims (C36-C40, C74-C76). OpenEval finds the mechanistic interpretation logically connects ATP to duty ratio and force generation. Peer reviewers strongly criticize the near-rigor ATP conditions as non-physiological, undermining the proposed mechanism's relevance.",3.0,16.0,1,elife-00116,0.0625,16,3
